id,name_short,name,type,sex,birth,position,education,subject,party,religion,kids,twitter,instagram,facebook,youtube
BVMW eV,BVMW eV,Bundesverband mittelstaendische Wirtschaft e.V.,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Camb Uni,Cambridge University,Cambridge University,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colum Uni,Columbia University,Columbia University,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DPZ eV,DPZ eV,Das Progressive Zentrum e.V.,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DFA,DFA,Deutsch-Franzoesische Arbeitsgruppe zum Elysee-Vertrag,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DFPV,DFPV,Deutsch-Franzoesische Parlamentarische Versammlung,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DFI eV,DFI eV,Deutsch-Franzoesisches Institut e.V.,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DGF eV,DGF eV,"Deutsch-Georgisches Forum fuer Politik, Wirtschaft und Kultur e.V.",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DKP,DKP,Deutsch-Kanadische Parlamentariergruppe,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DTF eV,DTF eV,Deutsch-Tuerkisches Forum Stuttgart e.V.,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DAidsS,DAidsS,Deutsche AIDS-Stiftung,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DBU,DBU,Deutsche Bundesstiftung Umwelt,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DI eV,DI eV,Deutsche Industrieforschungsgemeinschaft Konrad Zuse e.V.,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DENEFF,DENEFF,Deutsche Unternehmensinitiative Energieeffizienz e.V.,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DSW eV,Deutsches Studentenwerk e.V.,Deutsches Studentenwerk e.V.,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DSI,DSI,Deutschlandstiftung Integration gemeinnuetzige GmbH,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DHBW,DHBW,Duale Hochschule Baden-Wuerttemberg Loerrach,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EKUni Tueb,EKUni Tueb,Eberhard Karls Universitaet Tuebingen,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EKBB,EKBB,Enquete-Kommission Berufliche Bildung,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EOW eG,EOW eG,Erste Ostfriesesche Winzergenossenschaft eG,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EBD eV,EBD eV,Europaeische Bewegung Deutschland e.V.,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EP,Europaeisches Parlament,Europaeisches Parlament,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECFR,European Council on Foreign Relations,European Council on Foreign Relations,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EPC,European Policy Centre,European Policy Centre,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EVfEE eV,EUROSOLAR eV,EUROSOLAR - Europaeische Vereinigung fuer Erneuerbare Energien e.V.,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EvFfS Reut,EvFfS Reut,Evangelische Fachhochschule fuer Sozialwesen Reutlingen,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FCVfINF eV,FCVfINF eV,FC Play Fair Verein fuer Integritaet und Nachhaltigkeit im Fussball e.V.,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FDP BW,FDP Baden-Wuerttemberg,FDP Baden-Wuerttemberg,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FDPBevS,FDP-Bezirksvorstand Region Stuttgart,FDP-Bezirksvorstand Region Stuttgart,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FDBBf,FDP-Bundestagsfraktion,FDP-Bundestagsfraktion,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FDPBv,FDP-Bundesvorstand,FDP-Bundesvorstand,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FDPKf Freud,FDP-Kreistagsfraktion Freudenstadt,FDP-Kreistagsfraktion Freudenstadt,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FDPKv Boeb,FDP-Kreisverband Boeblingen,FDP-Kreisverband Boeblingen,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FDPDVLf,FDP/ DVP-Landtagsfraktion,FDP/ DVP-Landtagsfraktion,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FA,Finanzausschuss,Finanzausschuss,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FG,Finanzmarktgremium,Finanzmarktgremium,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FBD,Freshfields Bruckhaus Deringer LLP,Freshfields Bruckhaus Deringer LLP,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FGHD eV,FGHD eV,Freundeskreis Givat Haviva Deutschland e.V.,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FNS,FNS,Friedrich-Naumann-Stiftung fuer die Freiheit,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FofEU,Friends of Europe,Friends of Europe,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GVfD eV,GVfD eV,Gegen Vergessen fuer Demokratie e.V.,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GeB,Gemeinde Berg,Gemeinde Berg,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GeHaN,Gemeinde Horb am Neckar,Gemeinde Horb am Neckar,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GeL,Gemeinde Lauchringen,Gemeinde Lauchringen,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GA,Gemeinsamer Ausschuss,Gemeinsamer Ausschuss,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GMFUS,German Marshall Fund of the US,German Marshall Fund of the US,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GEUD eV,GEUD eV,Germersheim Europa-Union Deutschland e.V.,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GfAR GmbH,GfAR GmbH,Gesellschaft fuer Anlagen- und Reaktorsicherheit GmbH,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GSsF eV,GSsF eV,Gesellschaft zum Studium strukturpolitischer Fragen e.V.,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gruene BW,Gruene Baden-Wuerttemberg,Gruene Baden-Wuerttemberg,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GrJu,Gruene Jugend,Gruene Jugend,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GrJu BW,Gruene Jugend Baden-Wuerttemberg,Gruene Jugend Baden-Wuerttemberg,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HKA,Haushalts-Kontrollausschuss,Haushalts-Kontrollausschuss,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA,Haushaltsausschuss,Haushaltsausschuss,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HBS eV,Heinrich-Boell-Stiftung e.V.,Heinrich-Boell-Stiftung e.V.,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hd eV,Hospizdienst e.V.,Hospizdienst e.V.,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HiA eV,Humanity in Action e.V.,Humanity in Action e.V.,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IfKJ eV,IfKJ eV,Ich kann was - Initiative fuer Kinder und Jugendliche e.V.,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IEPP,Institut d'Etudes Politiques Paris,Institut d'Etudes Politiques Paris,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IEP,Institut fuer Europaeische Politik e.V.,Institut fuer Europaeische Politik e.V.,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IfM,IfM,Institut fuer Mobilitaet der Universitaet St. Gallen,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IfFFSE,IfFFSE,Institute for Freedom of Faith & Security in Europe,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JDC,Jacques Delors Centre,Jacques Delors Centre,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JuLi BW,Junge Liberalen Baden-Wuerttemberg,Junge Liberalen Baden-Wuerttemberg,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KIT,Karlsruher Institut fuer Technologie,Karlsruher Institut fuer Technologie,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KAL BW,KAL BW,Koalitionsausschuss Landesregierung Baden-Wuerttemberg,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KfW,Kreditanstalt fuer Wiederaufbau,Kreditanstalt fuer Wiederaufbau,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KL Boeb,Kreisrat Landkreis Boeblingen,Kreisrat Landkreis Boeblingen,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kl Wald,Kreistag Landkreis Waldshut,Kreistag Landkreis Waldshut,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kv Germ,Kreisverband Germersheim,Kreisverband Germersheim,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KvGrue Tueb,KvGrue Tueb,Kreisvorstand BUENDNIS 90/Die Gruenen Tuebingen,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LFAFDP BW,LFAFDP BW,Landesfachausschusses Innen und Recht der FDP Baden-Wuerttemberg,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lv SWGrue,Lv SWGrue,Landesvorsitz der Suedwest-Gruenen,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LvGrue BW,LvGrue BW,Landesvorstand BUENDNIS 90/Die Gruenen Baden-Wuerttemberg,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LvGrueJu RP,LvGrueJu RP,Landesvorstand der Gruenen Jugend Rheinlandpfalz,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LvJuLi BW,LvJuLi BW,Landesvorstand der Jungen Liberalen Baden-Wuerttemberg,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LvSPD BW,LvSPD BW,Landesvorstand der SPD Baden-Wuerttemberg,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LvFDP,Landesvorstand FDP,Landesvorstand FDP,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LgS,Landgericht Stuttgart,Landgericht Stuttgart,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lk Raven,Landkreis Ravensburg,Landkreis Ravensburg,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lt BW,Landtag Baden-Wuerttemberg,Landtag Baden-Wuerttemberg,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LiSL eV,LiSL eV,Liberale Schwule und Lesben Deutschland e.V.,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LHSLR,LHSLR,Lutherian High School Little Rock,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PVNATO,PVNATO,Parlamentarische Versammlung NATO,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PBCovid,PBCovid,Parlamentarisches Begleitgremium Covid-Pandemie,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRS eV,Pro RegioStadtbahn e.V.,Pro RegioStadtbahn e.V.,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RpA,Rechnungspruefungsausschuss,Rechnungspruefungsausschuss,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RvHB,Regionalverband Hochrhein-Bodensee,Regionalverband Hochrhein-Bodensee,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RMS,Reinhold-Maier-Stiftung,Reinhold-Maier-Stiftung,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RPLGrue,RPLGrue,Rheinland-Pfaelzischen Landesgruppe der Gruenen Bundestagsabgeordneten,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RA,Richterwahlausschuss,Richterwahlausschuss,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SB,Schwarzwaelder Bote,Schwarzwaelder Bote,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SPDKv Wald,SPD-Kreisverband Waldshut,SPD-Kreisverband Waldshut,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
StAC,St Antony's College,St Antony's College,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWoerth,SWoerth,Stadtrat Woerth am Rhein,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
STARTS,STARTS,START-Stiftung gemeinnuetzige GmbH,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SGF,SGF,Stiftung Gedenken und Frieden,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SNV e.V.,SNV e.V.,Stiftung Neue Verantwortung e.V.,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SV e.V.,SV e.V.,Stiftung Verantwortungseigentum e.V.,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SBE,SBE,Stiftung Bildung E?itim,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SWR,SWR,SWR,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TBCG GmbH,TBCG GmbH,The Boston Consulting Group GmbH,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
THS,THS,Theodor-Heuss-Stiftung,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TDSAP eV,TDSAP eV,Tuerkisch-Deutsche Studierenden und Akademiker Plattform e.V.,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TuWas eV,TuWas eV,TuWas fuer Europa e.V.,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TuWas,TuWas,TuWas Stiftung fuer Gemeinsinn,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UB GmbH,UB GmbH,Ullstein Buchverlage GmbH,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UN CSW,UN CSW,UN Commission on the Status of Women,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UNDFfW,UNDFfW,United Nations Development Fund for Women,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uni Heidel,Universitaet Heidelberg,Universitaet Heidelberg,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uni Karls,Universitaet Karlsruhe,Universitaet Karlsruhe,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uni Konst,Universitaet Konstanz,Universitaet Konstanz,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uni Mann,Universitaet Mannheim,Universitaet Mannheim,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uni Regen,Universitaet Regensburg,Universitaet Regensburg,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uni Zuerich,Universitaet Zuerich,Universitaet Zuerich,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UnterA ZKKH,UnterA ZKKH,"Unterausschuss fuer Zivile Krisenpraevention, Konfliktbearbeitung und vernetztes Handeln",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UntersA,Untersuchungsausschuss,Untersuchungsausschuss,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VpH eV,Verband der privaten Hochschulen e.V.,Verband der privaten Hochschulen e.V.,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VW eV,Verband Wohneigentum e.V.,Verband Wohneigentum e.V.,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VRN,VRN,Verbandsversammlung Regionalverband Nordschwarzwald,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VDFGfE eV,VDFGfE eV,Vereinigung Deutsch-Franzoesischer Gesellschaften fuer Europa e.V.,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VermA,Vermittlungsausschuss,Vermittlungsausschuss,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VertA,Verteidigungsausschuss,Verteidigungsausschuss,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VfHN,VfHN,Vertrauensgremium fuer die geheimen Haushaltsplaene der Nachrichtendienste des Bundes,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Wahl.A,Wahl.A,Wahlausschuss,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WGWL eV,WGWL eV,Wirtschaftliche Gesellschaft fuer Westfalen und Lippe e.V.,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WirtA,Wirtschaftsausschuss,Wirtschaftsausschuss,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WfSPD eV,Wirtschaftsforum der SPD e.V.,Wirtschaftsforum der SPD e.V.,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WDS,Wolfgang-Doering-Stiftung,Wolfgang-Doering-Stiftung,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YEC eV,Young Economy Club e.V.,Young Economy Club e.V.,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZDF,ZDF,ZDF,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZIF,ZIF,Zentrum fuer Internationale Friedenseinsaetze,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZOES eV,ZOES eV,Zukunftsforum Oeffentliche Sicherheit e.V.,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
